Kynjuð orð	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10
skerjakolla	no	k/kvk		lauslát eða léttúðug kona	niðrandi/ljótt orð yfir konur	Lauslát kona				
skerjála	no	k/kvk		óstýrilát stelpa, gjálíf og frekjuleg kona	niðrandi/ljótt orð yfir konur	Óhemja, ólátasöm stelpa				
skerjugerður	no	k/kvk		skapstór og ferðamikil kona	niðrandi/ljótt orð yfir konur	Skapgerð: skaphörð, vanstillt kona ; skass				
skessa	no	k/kvk		hrikalegur kvenmaður, frekjukvendi ; tröllkona	niðrandi/ljótt orð yfir konur	Skapgerð: skaphörð, vanstillt kona ; skass				
skirja	no	k/kvk		óstýrilát og villingsleg kona, klunnalegur kvenmaður	niðrandi/ljótt orð yfir konur	Óhemja, ólátasöm stelpa				
skitinhæla	no	k/kvk		kvenmannsóhræsi	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur				
skjágrind	no	k/kvk		skammaryrði um konur - blaðurskjóða	niðrandi/ljótt orð yfir konur	Málug kona; sem segir meira en hún má				
skjáta	no	k/kvk		lauslát kona; óþæg og horuð skepna	niðrandi/ljótt orð yfir konur	Lauslát kona				
skoppín	no	k/kvk		stelputrippi	niðrandi/ljótt orð yfir konur	Almenn ljót orð um stelpur				
skráma	no	k/kvk		gömul, hrukkótt kona	niðrandi/ljótt orð yfir konur	Gömul kona				
skrípi	no	k/kvk		ærslafull kona, flenna	niðrandi/ljótt orð yfir konur	Óhemja, ólátasöm stelpa				
skrokkskjóða	no	k/kvk		kona mikil á lofti	niðrandi/ljótt orð yfir konur	Montin kona, tilhaldsöm, hégómleg kona				
skrudda	no	k/kvk		óstýrlát og fyrirferðarmikil stelpa, hávær kvenmaður	niðrandi/ljótt orð yfir konur	Fasmikil, hávær kona oft fljótfær				
skrugga	no	k/kvk		ferðmikil stelpa	niðrandi/ljótt orð yfir konur	Fasmikil, hávær kona oft fljótfær				
skrugga	no	k/kvk		skapill kerling	niðrandi/ljótt orð yfir konur	Skapgerð: Geðill, uppstökk kona				
skrukka	no	k/kvk		gömul, hrukkótt kerling	niðrandi/ljótt orð yfir konur	Gömul kona				
skrunka	no	k/kvk		gömul kerling	niðrandi/ljótt orð yfir konur	Gömul kona				
skuðgála	no	k/kvk		léttúðarkvendi	niðrandi/ljótt orð yfir konur	Lauslát kona				
skuðrildi	no	k/kvk		"lastyrði um konu, ""kerlingartrunta"""	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur				
skufsa	no	k/kvk		"leiðindarkerling ;""ullardrusla"""	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur				
skurfa	no	k/kvk		gömul kerling	niðrandi/ljótt orð yfir konur	Gömul kona				
skúta	no	k/kvk		ferðmikil kona; seglskip	niðrandi/ljótt orð yfir konur	Fasmikil, hávær kona oft fljótfær				
skyndiklauf	no	k/kvk		klaufvirkur og fljótvirkur kvenmaður	niðrandi/ljótt orð yfir konur	Klaufsk kona				
skyndikona	no	k/kvk		vændiskona	niðrandi/ljótt orð yfir konur					
snegla	no	k/kvk		illskeytt hvefsin kona	niðrandi/ljótt orð yfir konur	Skapgerð: Geðill, uppstökk kona				
sperrirófa	no	k/kvk		tildurdrós, rettirófa, montrass	niðrandi/ljótt orð yfir konur	Montin kona, tilhaldsöm, hégómleg kona				
stássrófa	no	k/kvk		stássgjörn og tilhaldssöm kona	niðrandi/ljótt orð yfir konur	Tilhaldssöm, tilgerðarleg kona				
stedda	no	k/kvk		stelpuflenna; stóðmeri, hryssa	niðrandi/ljótt orð yfir konur	Lauslát kona				
stegla	no	k/kvk		lastyrði um konu	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur				
stella	no	k/kvk		stelpugála	niðrandi/ljótt orð yfir konur	Lauslát kona				
stelpa	no	k/kvk		horuð sauðkind	niðrandi/ljótt orð yfir konur	Fasmikil, hávær kona oft fljótfær				
stelpudækja	no	k/kvk		ósiðlát stelpa	niðrandi/ljótt orð yfir konur	Lauslát kona				
stelpuhemi	no	k/kvk		stelpuskömm	niðrandi/ljótt orð yfir konur	Almenn ljót orð um stelpur				
stelpuræfill	no	k/kvk			niðrandi/ljótt orð yfir konur	 				
stelpuskjáta	no	k/kvk		ómerkileg stelpa	niðrandi/ljótt orð yfir konur	Almenn ljót orð um stelpur				
stelputrippi	no	k/kvk		fljótfær og fluðruleg stelpa	niðrandi/ljótt orð yfir konur	Fasmikil, hávær kona oft fljótfær				
stræki	no	k/kvk		strákaflenna, stelpa sem sækist eftir að vera með og líkjast strákum	niðrandi/ljótt orð yfir konur	Lauslát kona				
strákaflenna	no	k/kvk		stelpa sem er mikið með strákum	niðrandi/ljótt orð yfir konur	Lauslát kona				
strákaglenna	no	k/kvk		stelpa sem er mikið með strákum	niðrandi/ljótt orð yfir konur	Lauslát kona				
strunsa	no	k/kvk		léttúðug kona	niðrandi/ljótt orð yfir konur	Lauslát kona				
stúlkuaumingi	no	k/kvk			niðrandi/ljótt orð yfir konur	 				
stúlkuræfill	no	k/kvk			niðrandi/ljótt orð yfir konur	 				
súðarbirna	no	k/kvk		gribbuleg kona	niðrandi/ljótt orð yfir konur	Skapgerð: skaphörð, vanstillt kona ; skass				
suðukerling	no	k/kvk		málgefin kona	niðrandi/ljótt orð yfir konur	Málug kona; sem segir meira en hún má				
svamla	no	k/kvk		fyrirferðarmikil kona; tröllkona	niðrandi/ljótt orð yfir konur	Fasmikil, hávær kona oft fljótfær				
svarkur	no	k/kvk		ráðrík og hávaðasöm kona	niðrandi/ljótt orð yfir konur	Skapgerð: skaphörð, vanstillt kona ; skass				
svarri	no	k/kvk		svarkur, kvenskass	niðrandi/ljótt orð yfir konur	Skapgerð: skaphörð, vanstillt kona ; skass				
sveitakerling	no	k/kvk			niðrandi/ljótt orð yfir konur	 				
tæa	no	k/kvk		skammaryrði 'tófa, tík'	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur				
tæfa	no	k/kvk		lastyrði 'tófa, tík	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur				
tanntúða	no	k/kvk		hvassyrt og kjaftfor manneskja	niðrandi/ljótt orð yfir konur	Skapgerð: skaphörð, vanstillt kona ; skass				
taus	no	k/kvk		stelpugála	niðrandi/ljótt orð yfir konur	Lauslát kona				
tegla	no	k/kvk		stelputrippi	niðrandi/ljótt orð yfir konur	Almenn ljót orð um stelpur				
tík	no	k/kvk		ómerkilegur kvenmaður	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur	x (kvenhundur)			
tildra	no	k/kvk		daðurgjörn kona	niðrandi/ljótt orð yfir konur	Lauslát kona				
tingla	no	k/kvk		seinlát og lítilvirk kona; rytjukind, skjáta	niðrandi/ljótt orð yfir konur	Löt kona, seinvirk				
típa	no	k/kvk		skass, frekjukvendi, óturt	niðrandi/ljótt orð yfir konur	Skapgerð: skaphörð, vanstillt kona ; skass				
tirja	no	k/kvk		óblíð kona, stelpuræksni	niðrandi/ljótt orð yfir konur	Skapgerð: skaphörð, vanstillt kona ; skass				
trérófa	no	k/kvk		kaldlynd kona	niðrandi/ljótt orð yfir konur	Skapgerð: skaphörð, vanstillt kona ; skass				
trilla	no	k/kvk		niðrandi um stelpu	niðrandi/ljótt orð yfir konur	Almenn ljót orð um stelpur				
trippa	no	k/kvk		stelpugála ; mertrippi	niðrandi/ljótt orð yfir konur	Lauslát kona				
tröllkerling	no	k/kvk			niðrandi/ljótt orð yfir konur	 				
trunta	no	k/kvk	n		niðrandi/ljótt orð yfir konur	 				
trunta	no	k/kvk		lastyrði um konu; bikkja, lélegt hross	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur				
tuðra	no	k/kvk	v	lastyrði um konu, 'kerlingartuðra'; sköp kvendýrs	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur				
tuðtrunta	no	k/kvk		skapill, leiðinleg kona	niðrandi/ljótt orð yfir konur	Skapgerð: Geðill, uppstökk kona				
tussa	ni	k/kvk	v	lastyrði um konu 'kvensköp	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur				
týja	no	k/kvk		lastyrði, kvendýr	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur				
tyrfa	no	k/kvk		geðill kona	niðrandi/ljótt orð yfir konur	Skapgerð: Geðill, uppstökk kona				
tyrra	no	k/kvk		önuglynd, hvefsin kona ; tík	niðrandi/ljótt orð yfir konur	Skapgerð: Geðill, uppstökk kona				
tyrta	no	k/kvk		skapstygg, hryssingsleg kona; mannfælin skepna	niðrandi/ljótt orð yfir konur	Skapgerð: Geðill, uppstökk kona				
vargatítla	no	k/kvk		smávaxin, frek kona eða skepna	niðrandi/ljótt orð yfir konur	Skapgerð: skaphörð, vanstillt kona ; skass				
veipa	no	k/kvk		kvenmannsrola	niðrandi/ljótt orð yfir konur	Skapgerð: Daufgerð, roluleg kona				
veski	no	k/kvk		stelpugopi	niðrandi/ljótt orð yfir konur	Almenn ljót orð um stelpur				
vinnukerling	no	k/kvk			niðrandi/ljótt orð yfir konur	 				
yrsa	no	k/kvk		óhemja, fála	niðrandi/ljótt orð yfir konur	Óhemja, ólátasöm stelpa				
ysja	no	k/kvk		fasmikil kona	niðrandi/ljótt orð yfir konur	Fasmikil, hávær kona oft fljótfær				
þurrtrunta	no	k/kvk			niðrandi/ljótt orð yfir konur	 				
